album,Positive_Score,Negative_Score,Neutral_Score,Compound_Score,Variability
Best Day Ever,16.1,8.6125,75.2875,74.999375,7.487500000000001
Blue Slide Park,11.76875,9.51875,78.71249999999999,21.63375,2.25
Circles,16.008333333333336,8.183333333333332,75.81666666666668,61.98666666666666,7.825000000000005
Delusional Thomas,11.419999999999998,17.22,71.36,-85.619,5.800000000000001
Faces,15.045833333333334,12.608333333333334,72.325,-0.935416666666668,2.4375
GO:OD AM ,17.376470588235293,13.235294117647058,69.40588235294118,-2.2517647058823553,4.141176470588235
"I Love Life, Thank You",14.53076923076923,11.592307692307692,73.9,10.950769230769229,2.9384615384615387
K.I.D.S.,13.55,9.422222222222222,77.03333333333333,48.349444444444444,4.127777777777778
Live from Space,15.219999999999999,11.620000000000001,73.14,52.153999999999996,3.599999999999998
Macadelic,13.529411764705882,13.541176470588235,72.91764705882352,7.409411764705883,0.0117647058823529
Swimming,18.56923076923077,9.138461538461538,72.28461538461539,69.2376923076923,9.430769230769233
The Divine Feminine,21.86,7.140000000000001,71.03,84.014,14.719999999999999
Watching Movies with the Sound Off,15.173684210526316,14.826315789473687,70.01578947368421,-13.72578947368421,0.34736842105262866
You,16.22,3.4799999999999995,80.3,79.562,12.739999999999998
